"Latest: Time (s)","Latest: Temperature (°C)"
0,4.28952265668
0.5,3.67209917219
1,3.22077244173
1.5,2.88447728512
2,2.62826446808
2.5,2.4798534621
3,2.33849771123
3.5,2.24779269589
4,2.17585203074
4.5,2.13225176072
5,2.07911463114
5.5,2.04682132479
6,2.02401168567
6.5,2.01640582618
7,2.0107005623
7.5,2.00119013231
8,2.00119013231
8.5,1.99358029618
9,1.99358029618
9.5,1.99167762979
10,1.99167762979
10.5,1.98787204809
11,1.98787204809
11.5,1.98596913275
12,1.98977488043
12.5,1.99167762979
13,1.98977488043
13.5,1.98596913275
14,1.99167762979
14.5,1.9973853801
15,2.00309238405
15.5,2.00879864202
16,2.01260239974
16.5,2.01450415436
17,2.01640582618
17.5,2.01830741521
18,2.01830741521
18.5,2.03161622135
19,2.03731875489
19.5,2.04492097601
20,2.04872159099
20.5,2.06202114345
21,2.06961907316
21.5,2.07911463114
22,2.09430324272
22.5,2.11707629393
23,2.13794120795
23.5,2.14742198167
24,2.16827248265
24.5,2.18153583436
25,2.20047654333
25.5,2.21183705664
26,2.22130191236
26.5,2.22508728519
27,2.22130191236
27.5,2.22508728519
28,2.2440092729
28.5,2.26103212082
29,2.276158029
29.5,2.276158029
30,2.28560909026
30.5,2.28938894847
31,2.29316848325
31.5,2.30261590588
32,2.31206130935
32.5,2.32150469532
33,2.32716975919
33.5,2.34982276471
34,2.36491833207
34.5,2.37812273587
35,2.38566634391
35.5,2.39320866896
36,2.40828947342
36.5,2.41394345423
37,2.42713327705
37.5,2.43655218181
38,2.4610319976
38.5,2.47420785846
39,2.48549834991
39.5,2.49866697303
40,2.5043094773
40.5,2.51935266414
41,2.52687235481
41.5,2.53439077808
42,2.54566603843
42.5,2.55881691072
43,2.57196391234
43.5,2.58698432309
44,2.60387625724
44.5,2.61513400525
45,2.61888595891
45.5,2.62638892334
46,2.64139108346
46.5,2.65076488414
47,2.66763278934
47.5,2.67138035161
48,2.68636747268
48.5,2.69573188387
49,2.71445485319
49.5,2.73129886178
50,2.73878306391
50.5,2.74439539887
51,2.75000703423
51.5,2.76496797752
52,2.77431604485
52.5,2.79113768259
53,2.80234862334
53.5,2.8116889469
54,2.8359647502
54.5,2.85276343919
55,2.85836161562
55.5,2.87515198995
56,2.88261237973
56.5,2.89193613888
57,2.89566510524
57.5,2.9143053358
58,2.92175928264
58.5,2.93666350285
59,2.94970068181
59.5,2.95714881814
60,2.9683187335
60.5,2.97762489964
61,2.98692916136
61.5,3.00553197769
62,3.01297097574
62.5,3.02412719476
63,3.03713933171
63.5,3.05014775523
64,3.06129488011
64.5,3.07615347869
65,3.09100724346
65.5,3.0965761603
66,3.10400032729
66.5,3.12070029646
67,3.12812054829
67.5,3.14481171757
68,3.16335032903
68.5,3.18002867001
69,3.19670094811
69.5,3.20410890566
70,3.21336717208
70.5,3.22077244173
71,3.23557940166
71.5,3.24483133029
72,3.24853158064
72.5,3.25963054633
73,3.27072683596
73.5,3.2818204521
74,3.30215181329
74.5,3.31508528539
75,3.33170870939
75.5,3.34278766733
76,3.35570976054
76.5,3.36309219176
77,3.37600861055
77.5,3.39076581703
78,3.41289280946
78.5,3.42395234339
79,3.4350092392
79.5,3.46263995349
80,3.4976152728
80.5,3.50865464565
81,3.52520879549
81.5,3.54727184416
82,3.56013713333
82.5,3.56748713367
83,3.58218366118
83.5,3.5932030207
84,3.60605565471
84.5,3.6170693849
85,3.63541983818
85.5,3.64826087396
86,3.65559702738
86.5,3.6775985958
87,3.6775985958
87.5,3.68309737426
88,3.6867628683
88.5,3.69775763177
89,3.70142198034
