"Latest: Time (s)","Latest: Temperature (°C)"
0,3.01854942683
0.5,3.01854942683
1,3.01669001906
1.5,3.01669001906
2,3.0204087587
2.5,3.03156315654
3,3.08358096491
3.5,3.12626559814
4,3.2503815942
4.5,3.45158964195
5,3.69958984183
5.5,3.99911258931
6,4.28952265668
6.5,4.63751855273
7,4.95093384773
7.5,5.30140210949
8,5.63008412595
8.5,5.88486147439
9,6.18547154771
9.5,6.45664468116
10,6.74197564525
10.5,7.02924729068
11,7.30649532576
11.5,7.635016322
12,7.94983987279
12.5,8.29317781864
13,8.59113606744
13.5,8.83276803177
14,9.12643643526
14.5,9.37092745336
15,9.66044610776
15.5,9.95683439416
16,10.1916783463
16.5,10.4986580936
17,10.8010266924
17.5,11.0924394651
18,11.3442396332
18.5,11.5313133603
19,11.7481641128
19.5,11.9532667898
20,12.1593935592
20.5,12.3618054524
21,12.6172266967
21.5,12.8372960003
22,13.0911970662
22.5,13.3599121567
23,13.6044410775
23.5,13.9025353515
24,14.1671730136
24.5,14.426408803
25,14.6480283515
25.5,14.8599220768
26,15.043795385
26.5,15.2303769172
27,15.4105064473
27.5,15.6116260066
28,15.8017173046
28.5,16.0172431388
29,16.2489799466
29.5,16.4424751408
30,16.6492057912
30.5,16.9067204578
31,17.1456601603
31.5,17.3751395201
32,17.5458492763
32.5,17.7252968841
33,17.9224042295
33.5,18.143058302
34,18.3231946782
34.5,18.5224163467
35,18.7495516886
35.5,18.9600486553
36,19.1525054538
36.5,19.3550734374
37,19.5559155862
37.5,19.7742090717
38,20.0290336992
38.5,20.2394016407
39,20.4363190061
39.5,20.6242361596
40,20.8134473947
40.5,21.0054203423
41,21.1855184514
41.5,21.3610883929
42,21.5584513145
42.5,21.7483579486
43,21.9395868771
43.5,22.1233921611
44,22.3099959783
44.5,22.489203416
45,22.6755902644
45.5,22.853145778
46,23.0669709181
46.5,23.2268993907
47,23.366423068
47.5,23.5364081327
48,23.6932632733
48.5,23.8297459573
49,23.9879652167
49.5,24.1287302734
50,24.2752674182
50.5,24.408720262
51,24.549401112
51.5,24.7060085551
52,24.8321462821
52.5,24.9814634348
53,25.1249658714
53.5,25.2771513911
54,25.4438179835
54.5,25.5887378132
55,25.7466957824
55.5,25.9220422318
56,26.0379752897
56.5,26.1756496582
57,26.2901415807
57.5,26.4191332157
58,26.5423361965
58.5,26.6612005374
59,26.7771764106
59.5,26.9120134978
60,27.0410683396
60.5,27.184645904
61,27.3079401791
61.5,27.4298043953
62,27.5531417652
62.5,27.6808577518
63,27.8332827308
63.5,27.9755846309
64,28.093231529
64.5,28.2327022289
65,28.3315197412
65.5,28.4390818789
66,28.5553963523
66.5,28.6935636439
67,28.8405120348
67.5,28.9642272483
68,29.0879861121
68.5,29.1957659951
69,29.3298122428
69.5,29.4435047467
70,29.5514059716
70.5,29.6710180593
71,29.7746247199
71.5,29.9118531363
72,30.0038640723
72.5,30.1178266122
73,30.212833679
73.5,30.3064139032
74,30.4190494288
74.5,30.5127083494
75,30.6356918048
