"Latest: Time (s)","Latest: Temperature (°C)"
0,23.7440854344
0.5,23.7832877192
1,23.8210353418
1.5,23.8544252815
2,23.8936195955
2.5,23.9255536871
3,23.9545831362
3.5,23.9807084036
4,24.0082838227
4.5,24.0315042451
5,24.0561749731
5.5,24.0779424428
6,24.0997091543
6.5,24.1301812948
7,24.1461423156
7.5,24.1737104315
8,24.1969247957
8.5,24.2215891785
9,24.2419003529
9.5,24.2622109302
10,24.2854222975
10.5,24.3028303251
11,24.3245897676
11.5,24.343447426
12,24.3681067162
12.5,24.3811613064
13,24.4000175408
13.5,24.4188733131
14,24.4435301746
14.5,24.4652855927
15,24.4855901203
15.5,24.5073444134
16,24.5348990375
16.5,24.5653531121
17,24.590005631
17.5,24.6190077218
18,24.6407586839
18.5,24.6654091595
19,24.6842590909
19.5,24.7045586059
20,24.7161581402
20.5,24.7335571884
21,24.7480561663
21.5,24.7640048052
22,24.7727039595
22.5,24.7843027197
23,24.798800992
23.5,24.8132990691
24,24.8277969538
24.5,24.8393951249
25,24.8480936745
25.5,24.8640408424
26,24.8712894818
26.5,24.878538076
27,24.8857866253
27.5,24.8973842116
28,24.9017332773
28.5,24.9046326458
29,24.9118810363
29.5,24.9147803804
30,24.9205790478
30.5,24.9249280304
31,24.9263776879
31.5,24.93072665
32,24.9336259496
32.5,24.9408741691
33,24.9408741691
33.5,24.942323808
34,24.9481223468
34.5,24.9495719773
35,24.9510216062
35.5,24.953920859
36,24.9582697259
36.5,24.9582697259
37,24.9568201052
37.5,24.9611689622
38,24.9611689622
38.5,24.9626185779
39,24.9611689622
39.5,24.9611689622
40,24.964068192
40.5,24.964068192
41,24.964068192
41.5,24.964068192
42,24.964068192
42.5,24.9611689622
43,24.9611689622
43.5,24.9597193449
44,24.9582697259
44.5,24.9611689622
45,24.955370483
45.5,24.9524712335
46,24.9524712335
46.5,24.9466727146
47,24.9466727146
47.5,24.942323808
48,24.9408741691
48.5,24.9350755969
49,24.93072665
49.5,24.9278273436
50,24.9249280304
50.5,24.9205790478
