"Latest: Time (s)","Latest: Temperature (°C)"
0,26.5988679525
0.5,26.6148132198
1,26.6278594876
1.5,26.6496035534
2,26.6612005374
2.5,26.6669990689
3,26.6829451677
3.5,26.6945424587
4,26.7177373705
4.5,26.7307847052
5,26.7409327318
5.5,26.7525305845
6,26.7525305845
6.5,26.7554300659
7,26.7583295545
7.5,26.7626788013
8,26.7670280646
8.5,26.7699275827
9,26.7742768738
9.5,26.7771764106
10,26.7786261817
10.5,26.7873248481
11,26.7873248481
11.5,26.7931239968
12,26.7989231759
12.5,26.7989231759
13,26.8032725802
13.5,26.8206703711
14,26.8293693717
14.5,26.8424180057
15,26.845317724
15.5,26.8525670549
16,26.8612663183
16.5,26.8685157603
17,26.8685157603
17.5,26.8772151583
18,26.8844647132
18.5,26.89171432
19,26.9018638572
19.5,26.9105635428
20,26.9149134142
20.5,26.9178133392
21,26.927963144
21.5,26.9337630798
22,26.9381130545
22.5,26.9395630504
23,26.9453630559
23.5,26.9540631298
24,26.9569631721
24.5,26.9627632833
25,26.9627632833
25.5,26.9642133166
26,26.9700134723
26.5,26.9729135635
27,26.9772637172
27.5,26.9845140185
28,26.9859640856
28.5,26.9874141549
29,26.9975647038
29.5,27.0048151646
30,27.007715365
30.5,27.0120656829
31,27.0178661394
31.5,27.0251167623
32,27.0280170279
32.5,27.0309173029
33,27.0309173029
33.5,27.0309173029
34,27.0323674439
34.5,27.0338175873
35,27.035267733
35.5,27.0381680315
36,27.0396181844
36.5,27.0425184971
37,27.0468689841
37.5,27.0526696669
38,27.0541198435
38.5,27.0541198435
39,27.0570202041
39.5,27.0570202041
40,27.0613707629
40.5,27.0613707629
41,27.0642711475
41.5,27.0671715418
42,27.0686217426
42.5,27.0729723595
43,27.075872783
43.5,27.0787732162
44,27.0802234365
44.5,27.0860243421
45,27.084574112
45.5,27.084574112
46,27.0874745746
46.5,27.0874745746
47,27.0889248096
47.5,27.0903750471
48,27.0932755294
48.5,27.091825287
49,27.0932755294
49.5,27.091825287
50,27.091825287
50.5,27.0961760217
51,27.0961760217
51.5,27.0976262715
52,27.0947257743
52.5,27.0932755294
53,27.0961760217
53.5,27.0961760217
54,27.0976262715
54.5,27.0976262715
55,27.0961760217
55.5,27.0947257743
56,27.0961760217
56.5,27.0932755294
57,27.0932755294
57.5,27.0889248096
58,27.0903750471
58.5,27.0889248096
59,27.0889248096
59.5,27.0889248096
60,27.0860243421
60.5,27.084574112
61,27.0816736592
61.5,27.0773229984
62,27.0773229984
62.5,27.075872783
63,27.0715221515
63.5,27.0700719458
64,27.0671715418
64.5,27.0657213435
65,27.0642711475
65.5,27.062820954
66,27.058470388
66.5,27.058470388
67,27.058470388
67.5,27.0541198435
68,27.0526696669
68.5,27.0483191512
69,27.0439686571
69.5,27.0425184971
70,27.0367178811
70.5,27.0338175873
71,27.0323674439
71.5,27.0323674439
72,27.0323674439
72.5,27.0309173029
73,27.0294671642
73.5,27.0309173029
74,27.0265668939
74.5,27.0207663815
75,27.0149659065
75.5,27.0106155746
76,27.007715365
76.5,27.0004648812
77,26.9917643764
77.5,26.9917643764
78,26.9859640856
78.5,26.9845140185
79,26.9816138912
79.5,26.978713773
80,26.9714635168
80.5,26.9656633522
81,26.9627632833
81.5,26.9627632833
82,26.9598632232
82.5,26.9555131499
83,26.952613112
83.5,26.9439130512
84,26.9395630504
84.5,26.9381130545
85,26.9381130545
85.5,26.9323130926
86,26.9265131654
86.5,26.9192633048
87,26.9149134142
87.5,26.9105635428
88,26.9062136905
88.5,26.897514043
89,26.89171432
89.5,26.880114974
90,26.8714155514
90.5,26.8714155514
91,26.8699656549
91.5,26.8685157603
92,26.859816436
92.5,26.8525670549
93,26.845317724
93.5,26.8438678639
94,26.8409681496
94.5,26.830819212
95,26.8235700301
95.5,26.8119714408
96,26.8061721927
96.5,26.8003729754
97,26.7945737887
97.5,26.7844252851
98,26.7786261817
98.5,26.7728271083
99,26.7670280646
99.5,26.7583295545
100,26.7539803243
100.5,26.7525305845
101,26.7481813762
101.5,26.745281913
102,26.7336841324
102.5,26.7293349943
103,26.7235361683
103.5,26.7075895419
104,26.704690178
104.5,26.6930927913
105,26.6843948231
105.5,26.6785962116
106,26.6698983445
106.5,26.6626501678
107,26.6612005374
107.5,26.6597509087
108,26.6510531707
108.5,26.6409058837
109,26.626409896
109.5,26.6177123794
110,26.6119140663
110.5,26.6032166432
111,26.5959688329
111.5,26.5901706121
112,26.5785742428
112.5,26.5713265605
113,26.5684274979
113.5,26.5655284412
114,26.5597303454
114.5,26.5481342232
115,26.5437857011
115.5,26.5292907193
116,26.5220432809
116.5,26.5075485074
117,26.5003011715
117.5,26.4988517083
118,26.493053869
118.5,26.4800088079
119,26.4756604777
119.5,26.4684132865
120,26.4553684226
120.5,26.4408742483
121,26.4307283994
121.5,26.4263801966
122,26.4147850414
122.5,26.4075381078
123,26.4060887245
123.5,26.3944937001
124,26.3843481134
124.5,26.3785506599
125,26.3655064539
125.5,26.3611584048
126,26.3539116777
126.5,26.3394183025
127,26.3278236766
127.5,26.3162291153
128,26.3060839259
128.5,26.2944894817
129,26.2915908801
129.5,26.2872429848
130,26.2785472192
130.5,26.2640543494
131,26.249561568
131.5,26.2437644797
132,26.2321703434
132.5,26.2220255175
133,26.2147792375
133.5,26.2002867364
134,26.1973882455
134.5,26.1930405147
135,26.1828958356
135.5,26.1727511923
136,26.1597081304
136.5,26.1466651241
137,26.1379698163
137.5,26.1278253198
138,26.1249268979
138.5,26.1133332347
139,26.1060872147
139.5,26.0915952179
140,26.0814508533
140.5,26.0640605743
141,26.0582638309
141.5,26.0466703675
142,26.035076934
142.5,26.0249327031
143,26.0133393218
143.5,26.0133393218
144,26.0017459664
144.5,25.9930509658
145,25.9829068151
145.5,25.9669660406
146,25.9568219313
146.5,25.9452286812
147,25.9292879905
147.5,25.9234913831
148,25.9089998803
148.5,25.8481357572
149,25.829296902
149.5,25.8177037647
150,25.8061106292
150.5,25.7974157778
151,25.7814752152
151.5,25.7698820756
152,25.7597380751
152.5,25.7553906451
153,25.7380009158
153.5,25.7322043355
154,25.7235094608
154.5,25.7061196941
